"Bug ID","Module / Area","Bug Description","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_001","Header Content Page","The Heading and Subheading text boxes are missing character limits, allowing users to type infinite text.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_002","Header Content Page","The Heading and Subheading text boxes incorrectly allow fields to be filled with just empty spacebar hits.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_003","Header Content Page","The Banner Image upload field accepts invalid file formats instead of restricting uploads purely to images.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_004","Header Content Page","Clicking ""Update Section"" with only empty spaces typed into the Heading/Subheading fields throws no error message.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_005","Header Content Page","The Banner Image upload zone allows oversized files because it lacks a file size maximum limit rule.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_006","Header Content Page","The confirmation alert that pops up after saving changes displays static placeholder text rather than a real confirmation.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_007","Header Content Page","The Banner Image upload area does not show hint text telling the user what file extensions are allowed.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_008","Header Content Page","If a user deletes an uploaded banner image using the ""X"" button, they are unable to re-upload that same image file.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_009","Header Content Page","The title text field fails to clear or reset back to its default placeholder state after successfully updating a section.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_010","Header Content Page","Multiple page tabs (Home, About, Investors, etc.) let users save identical imagery and duplicate text across everything.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_011","Homepage Management","The ""Why REYA"" dropdown card remains wide open by default on page load instead of staying collapsed like the others.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_012","Loyalty (Social Impact)","Deleting a saved social impact card from the Admin Panel doesn't remove it; the item remains stuck on the live site.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_013","Loyalty (Navigations)","Clicking on the ""Loyalty Content"" menu item accidentally forces the main page header to highlight itself out of nowhere.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_014","Investor (ROI Graph)","Custom text labels entered for the graph's X-Axis and Y-Axis do not actually display on the public website chart.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_015","Investor Journey","Typing out a full string up to the character limit on this card causes the text to overlap and break the adjacent UI blocks.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_016","About (Promise Section)","The descriptive text strings beneath the safety icons overflow outside of their design borders and clip unreadably.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_017","Founder Section","The file uploader accepts GIF files, but throwing an error message incorrectly stating that only IMG and SVG are allowed.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_018","Investor (Disclaimers)","The system lacks an item limit counter, letting users add an infinite amount of security line items to the layout.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_019","Home","The ""Join the Waitlist"" action button inside the primary Hero section is completely dead or works only randomly.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_020","Home","Registration fails on click; the system crashes and throws an ""investor creation failed"" console exception block.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_021","Home","Submitting onboarding forms on Investor, Loyalty, or Messages tabs fails to record any data into the database sheet.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_022","Investors","Completing Rider signup and clicking ""Got It"" redirects back home to a login modal instead of a successful dashboard state.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_023","Investors","The primary ""Invest in Reya"" button located inside the welcome banner routes users to the completely wrong page URL.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_024","Investors","The profile photo upload zone accepts document formats like PDFs and videos instead of restricting it to standard images.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_025","Investors","The Password and Phone Number entry boxes accept standalone spacebar taps as valid entries instead of blocking them.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_026","Investors","Onboarding submission forms for Rider and Driver tiers completely lack data format validation on Name, Phone, or Email.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_027","Investors","The Investment Amount text field allows users to leave it empty when it is supposed to be a mandatory input row.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_028","Investors","Red validation errors stay stuck on screen even after the user successfully selects a choice from the Investment Tier menu.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_029","Loyalty","Smooth page slide-in transition animations are completely broken or missing across several layout tiles.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_030","Loyalty","The Create Password and Confirm Password text entry rows accidentally render two overlapping reveal eye icons.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_031","Loyalty","The Driver Name field accepts long text blocks past the limit despite a label notice explicitly claiming a max of 30.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_032","Loyalty","When a user uploads their identification documents as a PDF file, the thumbnail container fails to generate a visual preview.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_033","Loyalty","In the Driver registration form, tapping the ""Terms of Service"" text label checks the box for the prompt above it instead.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_034","Loyalty","The Rider form pops up a generic ""Full Name required"" toast alert, but fails to show inline red error text directly under the input.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_035","Loyalty","The Driver registration submission forms lack error validation alerts across every input box field.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_036","Loyalty","Clicking the ""I confirm I have read terms..."" text string checks off the entirely wrong agreement checkbox sitting above it.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_037","Connect Section","Selecting an item from the ""Select Your Inquiry"" dropdown list fails to dismiss the active ""Field Required"" error label.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_038","Multiple Modules","Forms filled out across Investor, Loyalty, or Contact portals completely fail to push data rows to the backend storage sheet.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_039","Investors","The Profile Photo upload button lets users click past it without any validation enforcement or file-type checks.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_040","Investors","The system allows users to bypass the Investment Amount field when it needs to be locked down as a required field.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_041","Investors","User registration attempts fail globally while flashing an ""investor creation failed"" red toast message block.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_042","Investors","Navigating to the Rider form fires an empty phone validation alert immediately before the user even has a chance to type.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_043","Home Screen","The quick auto-navigation dashboard button helper is completely missing from the live interface view.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_044","Ride Requests","When dispatching a ride request connection to an available driver, the ETA counter stays frozen at ""0 min pickup.""","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_045","Report An Issue","Opening the support complaint screen in Dark Mode makes the complaint category selection text invisible against the dark background.","","","","","","","","","","","","","","","","","","","","","","",""
